2012, Swimming, Netherlands, gold, 1
2008, Rowing, Switzerland, silver, 2
2004, Athletics, Denemark, gold, 1
2008, Synchronized Swimming, Finland, silver, 6
2008, Rowing, Finland, bronze, 1
4, Synchronized Swimming, China, bronze, 2
2008, Cycling, Russia, g, 1
2004, Volleyball, South Korea, gold, 5
2016, Football / Soccer, Commonwealth of Independent States, gold, 6
2008, Athletics, Switzerland, silver, 2
2008, Volleyball, Norway, gold, 4
2008, Cycling, Australia, silver, 3
2004, Modern Pentathlon, West Germany, silver, 6
2012, Football / Soccer, South Korea, g, 6
2016, Tennis, West Germany, bronze, 3
2004, Rowing, Cuba, bronze, 3
2004, Gymnastics, Great Britain, silver, 6
2008, Football / Soccer, Australia, bronze, 4
2008, Tennis, Australia, gold, 2
2004, Synchronized Swimming, Switzerland, silver, 6
2016, Cycling, Romania, silver, 4
2012, Athletics, France, gold, 3
2004, Tennis, Italy, bronze, 3
2016, Football / Soccer, Turkey, gold, 0
2004, Synchronized Swimming, Romania, silver, 2
2012, Synchronized Swimming, Sweden, gold, 3
2012, Volleyball, Australia, silver, 0
2008, Synchronized Swimming, Belgium, gold, 0
2016, Football / Soccer, East Germany, silver, 0
2016, Swimming, Netherlands, bronze, 1
2012, Volleyball, Germany, gold, 1
2016, Modern Pentathlon, Finland, gold, 5
2008, Synchronized Swimming, Switzerland, bronze, 0
2016, Volleyball, France, silver, 0
2012, Modern Pentathlon, Great Britain, gold, 5
2012, Cycling, Denemark, bronze, 3
2016, Tennis, Russia, gold, 0
2016, Volleyball, Soviet Union, gold, 5
2004, Rowing, Romania, bronze, 0
2008, Swimming, Netherlands, silver, 3
2016, Swimming, South Korea, silver, 6
2016, Swimming, Great Britain, gold, 6
2008, Volleyball, Bulgaria, bronze, 6
2008, Swimming, Switzerland, bronze, 1
2016, Cycling, Switzerland, silver, 6
2004, Rowing, Japan, gold, 6
2008, Swimming, Norway, bronze, 5
2012, Athletics, Finland, silver, 4
2004, Modern Pentathlon, Netherlands, silver, 3
2004, Synchronized Swimming, East Germany, bronze, 4
2004, Swimming, Switzerland, bronze, 0
2016, Synchronized Swimming, Belgium, gold, 5
2004, Modern Pentathlon, Canada, bronze, 2
2016, Gymnastics, Romania, gold, 0
2008, Cycling, Canada, bronze, 1
2004, Gymnastics, Norway, bronze, 1
2012, Athletics, Turkey, gold, 5
2004, Modern Pentathlon, Finland, bronze, 3
2004, Tennis, Australia, bronze, 4
2012, Rowing, Germany, gold, 6
2008, Athletics, China, gold, 6
2004, Rowing, Turkey, silver, 3
2012, Synchronized Swimming, Sweden, silver, 0
2012, Rowing, Great Britain, bronze, 3
2008, Swimming, Australia, bronze, 6
2012, Rowing, Soviet Union, s, 4
2012, Rowing, Great Britain, gold, 2
2004, Tennis, Turkey, silver, 6
2004, Football / Soccer, Japan, silver, 3
2004, Swimming, Czechoslovakia, gold, 5
2004, Swimming, East Germany, bronze, 4
2004, Athletics, Germany, silver, 0
2016, Football / Soccer, Switzerland, silver, 0
2004, Swimming, Australia, bronze, 4
2004, Volleyball, Russia, silver, 2
2008, Volleyball, Finland, bronze, 5
2016, Synchronized Swimming, Japan, silver, 2
2016, Tennis, Turkey, bronze, 4
2008, Rowing, Norway, gold, 6
2008, Synchronized Swimming, East Germany, silver, 4
2012, Modern Pentathlon, Bulgaria, silver, 6
2012, Modern Pentathlon, East Germany, bronze, 6
2004, Tennis, Japan, silver, 3
2012, Volleyball, Germany, silver, 5
2016, Synchronized Swimming, China, silver, 1
2008, Cycling, United States, silver, 6
2008, Synchronized Swimming, South Korea, gold, 1
2008, Athletics, Norway, gold, 1
2004, Cycling, Switzerland, gold, 0
2004, Synchronized Swimming, Commonwealth of Independent States, gold, 2
2004, Modern Pentathlon, Romania, bronze, 5
2004, Athletics, Cuba, bronze, 0
2016, Football / Soccer, Japan, gold, 0
2016, Volleyball, Norway, gold, 2
2016, Swimming, Switzerland, bronze, 5
2012, Gymnastics, Germany, bronze, 2
2008, Synchronized Swimming, France, silver, 4
2004, Swimming, Finland, bronze, 3
2012, Tennis, West Germany, gold, 3
2004, Football / Soccer, South Korea, silver, 4
2008, Tennis, Soviet Union, silver, 3
2008, Swimming, Czechoslovakia, silver, 0
2012, Athletics, Switzerland, bronze, 2
2004, Modern Pentathlon, China, silver, 3
2016, Tennis, Germany, gold, 0
2016, Gymnastics, Sweden, gold, 3
2016, Swimming, Norway, bronze, 6
2012, Tennis, Austria, silver, 2
2008, Tennis, Finland, silver, 1
2016, Tennis, Japan, gold, 6
2016, Gymnastics, Sweden, silver, 1
2016, Rowing, Sweden, silver, 3
2016, Swimming, Netherlands, gold, 6
212, Football / Soccer, Bulgaria, gold, 2
2012, Modern Pentathlon, Switzerland, bronze, 3
2016, Synchronized Swimming, Norway, gold, 1
2016, Volleyball, Italy, silver, 1
2004, Synchronized Swimming, Sweden, bronze, 4
2008, Synchronized Swimming, Italy, silver, 1
2008, Athletics, Russia, silver, 4
2008, Football / Soccer, Bulgaria, gold, 2
2004, Football / Soccer, Cuba, silver, 4
2008, Synchronized Swimming, Germany, silver, 6
2016, Synchronized Swimming, Belgium, silver, 2
2004, Tennis, Finland, bronze, 2
2016, Football / Soccer, Poland, gold, 6
2008, Tennis, China, silver, 1
2004, Athletics, Austria, bronze, 3
2016, Athletics, Soviet Union, silver, 4
8, Modern Pentathlon, Italy, silver, 1
2016, Modern Pentathlon, France, gold, 2
2008, Swimming, Sweden, b, 1
2016, Rowing, West Germany, bronze, 1
2012, Modern Pentathlon, Great Britain, bronze, 6
2016, Synchronized Swimming, Denemark, silver, 6
2008, Cycling, Soviet Union, bronze, 3
2012, Swimming, Japan, silver, 6
2012, Athletics, Romania, silver, 2
2008, Modern Pentathlon, Great Britain, silver, 4
2008, Swimming, Soviet Union, bronze, 2
2016, Volleyball, Finland, gold, 1
2004, Football / Soccer, Czechoslovakia, silver, 3
2008, Tennis, Great Britain, gold, 2
2012, Swimming, Austria, silver, 6
2012, Modern Pentathlon, Finland, silver, 4
2016, Swimming, West Germany, bronze, 5
2004, Swimming, Switzerland, silver, 2
2004, Swimming, Denemark, gold, 6
2012, Gymnastics, Norway, silver, 2
2012, Rowing, Italy, bronze, 6
2004, Volleyball, Switzerland, bronze, 5
2004, Gymnastics, Australia, bronze, 0
2016, Swimming, France, gold, 4
2016, Cycling, Finland, silver, 0
2008, Athletics, France, silver, 3
2008, Volleyball, Denemark, bronze, 1
2016, Synchronized Swimming, Germany, g, 2
2004, Cycling, Hungary, gold, 1
2012, Gymnastics, Netherlands, silver, 6
2012, Synchronized Swimming, Commonwealth of Independent States, gold, 2
2012, Swimming, France, bronze, 3
2004, Volleyball, Switzerland, gold, 6
2004, Rowing, Poland, bronze, 5
2004, Swimming, Australia, silver, 5
2016, Athletics, United States, bronze, 1
2012, Athletics, Czechoslovakia, bronze, 2
2016, Volleyball, Australia, silver, 4
2012, Synchronized Swimming, China, silver, 6
2004, Athletics, Canada, gold, 4
2004, Tennis, Belgium, bronze, 2
2012, Gymnastics, Canada, bronze, 0
2008, Athletics, France, gold, 5
2016, Athletics, Japan, bronze, 0
2004, Swimming, Romania, gold, 1
2016, Swimming, Sweden, silver, 4
2016, Synchronized Swimming, Czechoslovakia, bronze, 4
2008, Rowing, South Korea, silver, 5
2004, Gymnastics, Russia, bronze, 0
2008, Rowing, Austria, silver, 5
2004, Cycling, Japan, bronze, 2
2012, Rowing, Hungary, silver, 0
2004, Swimming, Denemark, silver, 2
2004, Gymnastics, Australia, silver, 3
2016, Tennis, Australia, bronze, 4
2004, Gymnastics, France, gold, 1
2016, Gymnastics, Denemark, silver, 3
2016, Rowing, Great Britain, silver, 5
2004, Modern Pentathlon, Turkey, bronze, 4
2012, Modern Pentathlon, Soviet Union, silver, 0
2008, Modern Pentathlon, Commonwealth of Independent States, gold, 4
2016, Athletics, Germany, gold, 0
2012, Swimming, Germany, bronze, 1
2008, Rowing, Bulgaria, bronze, 1
2004, Cycling, Russia, silver, 3
2016, Synchronized Swimming, Russia, silver, 3
2008, Cycling, Great Britain, bronze, 0
2012, Volleyball, Soviet Union, silver, 0
2004, Swimming, Japan, silver, 1
2004, Swimming, Great Britain, bronze, 4
212, Tennis, Belgium, bronze, 1
2008, Football / Soccer, Norway, s, 2
2008, Football / Soccer, Netherlands, silver, 2
2008, Football / Soccer, East Germany, bronze, 6
2004, Swimming, Switzerland, gold, 1
2004, Synchronized Swimming, Netherlands, gold, 5
2004, Athletics, Bulgaria, gold, 5
2004, Tennis, Hungary, gold, 5
2012, Synchronized Swimming, Austria, silver, 5
2008, Volleyball, China, silver, 1
2008, Cycling, Austria, silver, 3
2012, Gymnastics, Belgium, silver, 2
2016, Cycling, Norway, bronze, 1
2008, Gymnastics, China, gold, 0
2008, Gymnastics, Netherlands, bronze, 2
2008, Tennis, Canada, gold, 1
2016, Football / Soccer, Bulgaria, silver, 4
2004, Athletics, Cuba, gold, 6
2004, Cycling, Australia, gold, 4
2004, Gymnastics, Sweden, gold, 5
12, Football / Soccer, Sweden, silver, 3
2016, Athletics, France, bronze, 6
2016, Modern Pentathlon, Sweden, silver, 2
2004, Athletics, Belgium, gold, 4
2016, Swimming, Romania, bronze, 3
2004, Tennis, Bulgaria, bronze, 1
2016, Cycling, Turkey, silver, 5
2016, Synchronized Swimming, Soviet Union, silver, 1
2008, Tennis, Russia, gold, 6
2008, Modern Pentathlon, France, silver, 1
2016, Gymnastics, Commonwealth of Independent States, silver, 3
2016, Modern Pentathlon, Australia, bronze, 5
2016, Tennis, South Korea, gold, 5
2008, Tennis, East Germany, silver, 6
2012, Modern Pentathlon, Russia, silver, 6
2016, Modern Pentathlon, Bulgaria, silver, 3
2016, Modern Pentathlon, Cuba, gold, 5
2004, Volleyball, United States, silver, 2
2004, Football / Soccer, Italy, gold, 6
2004, Volleyball, Canada, bronze, 1
2008, Volleyball, Germany, bronze, 0
2004, Volleyball, Russia, gold, 2
2004, Modern Pentathlon, West Germany, bronze, 3
2012, Synchronized Swimming, Great Britain, bronze, 3
2012, Cycling, Poland, gold, 2
2012, Synchronized Swimming, Australia, bronze, 0
2008, Athletics, Belgium, silver, 1
2012, Football / Soccer, Denemark, silver, 3
2012, Modern Pentathlon, Italy, silver, 3
2016, Volleyball, South Korea, bronze, 3
2008, Gymnastics, Australia, gold, 6
2008, Football / Soccer, Switzerland, gold, 4
2008, Gymnastics, Denemark, silver, 3
2004, Tennis, Netherlands, silver, 1
2004, Modern Pentathlon, Finland, gold, 2
2008, Volleyball, United States, gold, 3
2004, Rowing, Cuba, gold, 2
2012, Rowing, United States, bronze, 3
2004, Cycling, Sweden, gold, 2
2012, Modern Pentathlon, Finland, gold, 5
2008, Athletics, Turkey, silver, 5
2012, Rowing, Russia, silver, 3
2008, Modern Pentathlon, China, silver, 3
2008, Tennis, Canada, silver, 5
2016, Football / Soccer, Romania, gold, 4
2008, Volleyball, Poland, silver, 2
2012, Modern Pentathlon, Sweden, silver, 3
2004, Volleyball, Netherlands, gold, 5
2004, Cycling, Romania, gold, 4
2004, Tennis, Commonwealth of Independent States, silver, 5
2012, Football / Soccer, Austria, silver, 4
2008, Gymnastics, Poland, silver, 1
2016, Tennis, Commonwealth of Independent States, silver, 4
2004, Modern Pentathlon, East Germany, silver, 6
2016, Football / Soccer, Norway, bronze, 5
2008, Gymnastics, Italy, bronze, 2
2016, Synchronized Swimming, Hungary, b, 5
2004, Volleyball, Sweden, silver, 4
2008, Volleyball, East Germany, bronze, 4
2004, Rowing, Canada, silver, 2
2012, Gymnastics, Austria, bronze, 1
2012, Rowing, Commonwealth of Independent States, gold, 3
2012, Tennis, Great Britain, gold, 5
2004, Swimming, Germany, gold, 3
2016, Tennis, Cuba, g, 3
2008, Volleyball, Canada, bronze, 3
2012, Rowing, South Korea, bronze, 2
2004, Gymnastics, Denemark, bronze, 6
2008, Football / Soccer, France, silver, 5
2016, Cycling, Denemark, silver, 4
2012, Football / Soccer, Great Britain, silver, 1
2016, Gymnastics, Soviet Union, bronze, 6
2016, Football / Soccer, Bulgaria, bronze, 3
2008, Swimming, Netherlands, bronze, 4
2008, Swimming, Austria, silver, 1
2016, Athletics, France, silver, 1
2008, Synchronized Swimming, Poland, gold, 2
2016, Rowing, Belgium, gold, 2
2008, Synchronized Swimming, Commonwealth of Independent States, bronze, 6
2012, Gymnastics, Japan, silver, 5
2016, Athletics, Belgium, silver, 2
2016, Tennis, Belgium, gold, 1
2008, Gymnastics, France, bronze, 4
2016, Swimming, Norway, silver, 0
2012, Synchronized Swimming, East Germany, gold, 2
2004, Athletics, East Germany, bronze, 3
2016, Tennis, Czechoslovakia, bronze, 3
2008, Gymnastics, Commonwealth of Independent States, silver, 5
2004, Modern Pentathlon, East Germany, gold, 3
2008, Synchronized Swimming, Turkey, silver, 3
2012, Cycling, Romania, gold, 2
2016, Modern Pentathlon, Romania, silver, 6
2016, Volleyball, Austria, silver, 6
2008, Swimming, East Germany, b, 5
2004, Football / Soccer, Bulgaria, gold, 6
2004, Gymnastics, Poland, bronze, 1
2008, Football / Soccer, Hungary, silver, 6
2012, Synchronized Swimming, South Korea, gold, 6
2016, Volleyball, Great Britain, gold, 3
2016, Cycling, Denemark, gold, 4
2012, Football / Soccer, Commonwealth of Independent States, gold, 2
2004, Volleyball, Canada, gold, 4
2004, Cycling, Poland, bronze, 0
2008, Athletics, Cuba, silver, 2
2012, Athletics, Great Britain, gold, 5
2012, Cycling, South Korea, bronze, 5
2016, Football / Soccer, Great Britain, bronze, 2
2012, Synchronized Swimming, Austria, bronze, 1
2004, Athletics, Hungary, silver, 3
2012, Gymnastics, Russia, bronze, 6
2016, Volleyball, Czechoslovakia, silver, 6
2016, Tennis, Bulgaria, gold, 2
2004, Synchronized Swimming, Bulgaria, bronze, 4
2008, Volleyball, Japan, bronze, 2
2004, Volleyball, Belgium, silver, 2
2016, Volleyball, Sweden, gold, 5
2004, Synchronized Swimming, Denemark, gold, 1
2008, Swimming, Belgium, gold, 3
2004, Tennis, East Germany, bronze, 2
2016, Modern Pentathlon, Switzerland, bronze, 3
2008, Tennis, Hungary, silver, 6
2008, Gymnastics, Switzerland, silver, 6
2004, Tennis, Sweden, silver, 0
2004, Rowing, Poland, g, 4
2008, Modern Pentathlon, Russia, bronze, 4
2008, Synchronized Swimming, West Germany, silver, 5
2004, Synchronized Swimming, Italy, bronze, 6
2016, Volleyball, Canada, bronze, 5
2004, Football / Soccer, Netherlands, bronze, 3
2004, Rowing, Netherlands, bronze, 0
2012, Rowing, United States, gold, 4
2016, Synchronized Swimming, Canada, silver, 2
2012, Synchronized Swimming, Finland, bronze, 4
2004, Football / Soccer, Canada, silver, 3
2012, Gymnastics, Japan, gold, 4
2004, Volleyball, Hungary, silver, 1
2012, Football / Soccer, Norway, silver, 4
2016, Football / Soccer, East Germany, gold, 4
2012, Gymnastics, Turkey, bronze, 2
2004, Gymnastics, Russia, gold, 1
2012, Modern Pentathlon, Switzerland, silver, 5
2012, Football / Soccer, Great Britain, bronze, 5
2008, Tennis, Italy, gold, 4
2012, Rowing, Bulgaria, gold, 4
2008, Modern Pentathlon, Austria, gold, 2
2004, Football / Soccer, Norway, silver, 5
2008, Swimming, Great Britain, b, 4
2008, Football / Soccer, Czechoslovakia, silver, 5
2008, Gymnastics, Netherlands, silver, 2
2012, Tennis, Soviet Union, b, 1
2012, Swimming, Australia, bronze, 4
2004, Football / Soccer, Great Britain, silver, 0
2004, Volleyball, Czechoslovakia, gold, 6
2004, Cycling, Austria, silver, 4
2008, Cycling, Canada, silver, 2
2008, Cycling, Finland, silver, 3
2016, Football / Soccer, Bulgaria, gold, 0
2004, Gymnastics, Commonwealth of Independent States, bronze, 0
2016, Cycling, East Germany, silver, 5
2016, Gymnastics, Belgium, gold, 2
2012, Synchronized Swimming, Netherlands, gold, 6
2008, Tennis, United States, bronze, 6
2012, Athletics, East Germany, bronze, 2
2016, Swimming, Romania, silver, 3
2004, Cycling, South Korea, bronze, 6
2004, Football / Soccer, China, gold, 4
2004, Football / Soccer, France, silver, 6
2004, Football / Soccer, Commonwealth of Independent States, silver, 3
2012, Volleyball, Belgium, bronze, 2
2008, Modern Pentathlon, Soviet Union, gold, 2
2008, Athletics, Austria, silver, 5
2012, Gymnastics, South Korea, silver, 6
2012, Volleyball, West Germany, bronze, 3
2004, Modern Pentathlon, Finland, silver, 0
2008, Gymnastics, United States, silver, 1
2016, Volleyball, Soviet Union, silver, 4
12, Swimming, South Korea, bronze, 1
2008, Modern Pentathlon, Cuba, silver, 5
2012, Synchronized Swimming, Japan, silver, 4
2008, Swimming, Switzerland, gold, 2
2016, Tennis, United States, gold, 6
2004, Modern Pentathlon, Sweden, silver, 1
2016, Athletics, United States, gold, 2
2016, Cycling, Great Britain, gold, 4
2008, Rowing, Switzerland, gold, 6
2008, Modern Pentathlon, South Korea, silver, 0
2016, Modern Pentathlon, Belgium, silver, 6
2004, Football / Soccer, Belgium, bronze, 1
2008, Football / Soccer, Turkey, bronze, 6
2016, Athletics, West Germany, gold, 5
2012, Swimming, Czechoslovakia, bronze, 2
2004, Gymnastics, Great Britain, bronze, 2
2004, Swimming, West Germany, gold, 0
2008, Volleyball, Japan, silver, 2
2012, Gymnastics, South Korea, bronze, 1
2012, Synchronized Swimming, Germany, silver, 2
2016, Tennis, France, silver, 2
2012, Cycling, Bulgaria, silver, 6
2004, Rowing, West Germany, silver, 5
2012, Volleyball, Italy, gold, 2
2004, Athletics, Sweden, bronze, 3
2016, Rowing, Romania, bronze, 6
2008, Football / Soccer, France, b, 3
2008, Rowing, Netherlands, gold, 5
2012, Volleyball, Czechoslovakia, silver, 3
2008, Rowing, Cuba, silver, 1
2012, Modern Pentathlon, Hungary, gold, 3
2012, Athletics, Germany, bronze, 6
2008, Modern Pentathlon, Sweden, silver, 5
2016, Swimming, Cuba, bronze, 6
2004, Cycling, Norway, silver, 6
2004, Football / Soccer, Switzerland, gold, 4
2008, Athletics, East Germany, silver, 6
2008, Football / Soccer, Japan, silver, 1
2008, Athletics, Hungary, gold, 6
2016, Cycling, Austria, silver, 6
2012, Athletics, Romania, bronze, 1
2008, Synchronized Swimming, Denemark, bronze, 5
2012, Swimming, Norway, gold, 3
2016, Athletics, Turkey, b, 2
2012, Football / Soccer, China, bronze, 3
2016, Modern Pentathlon, West Germany, bronze, 1
2004, Football / Soccer, United States, bronze, 2
2012, Synchronized Swimming, Cuba, gold, 1
2004, Volleyball, Germany, bronze, 1
2016, Rowing, Romania, gold, 3
2012, Gymnastics, France, gold, 0
2012, Volleyball, Bulgaria, gold, 1
2004, Synchronized Swimming, Czechoslovakia, bronze, 2
2012, Synchronized Swimming, Turkey, silver, 6
2004, Football / Soccer, China, bronze, 6
2012, Cycling, Commonwealth of Independent States, gold, 3
2012, Rowing, Canada, gold, 0
2016, Gymnastics, Australia, gold, 6
2012, Cycling, West Germany, bronze, 0
2016, Athletics, Commonwealth of Independent States, silver, 4
2016, Rowing, South Korea, silver, 6
2008, Volleyball, Italy, bronze, 1
2016, Modern Pentathlon, Commonwealth of Independent States, bronze, 4
2016, Gymnastics, Hungary, bronze, 1
2016, Modern Pentathlon, Great Britain, silver, 0
2012, Modern Pentathlon, Netherlands, gold, 6
2008, Synchronized Swimming, Great Britain, gold, 2
2008, Gymnastics, Austria, bronze, 0
2016, Volleyball, China, bronze, 1
2004, Swimming, Turkey, gold, 2
2004, Synchronized Swimming, Austria, gold, 6
2016, Volleyball, Great Britain, silver, 5
2012, Athletics, West Germany, gold, 5
2004, Gymnastics, Canada, bronze, 6
2004, Football / Soccer, Bulgaria, bronze, 3
2008, Modern Pentathlon, Romania, silver, 1
2016, Gymnastics, Cuba, gold, 6
2016, Rowing, Poland, silver, 5
2008, Modern Pentathlon, Japan, bronze, 4
2016, Modern Pentathlon, Russia, silver, 0
2004, Rowing, Switzerland, gold, 5
2008, Gymnastics, Romania, gold, 5
2004, Synchronized Swimming, Germany, silver, 5
2008, Athletics, Finland, silver, 5
2012, Volleyball, Switzerland, silver, 4
2016, Rowing, Sweden, bronze, 0
2012, Athletics, Hungary, silver, 0
2008, Tennis, Russia, bronze, 2
2012, Athletics, South Korea, gold, 5
2008, Gymnastics, West Germany, bronze, 3
2012, Gymnastics, Hungary, bronze, 3
2012, Modern Pentathlon, Romania, silver, 5
2008, Tennis, Turkey, bronze, 1
2016, Swimming, Finland, silver, 5
2012, Swimming, West Germany, bronze, 3
2012, Athletics, Hungary, gold, 3
2012, Modern Pentathlon, France, bronze, 0
2016, Rowing, Poland, gold, 4
2016, Rowing, Hungary, gold, 3
2016, Swimming, Hungary, gold, 0
2004, Volleyball, Cuba, silver, 0
2004, Synchronized Swimming, China, gold, 4
2016, Rowing, Canada, bronze, 3
2016, Cycling, Russia, bronze, 0
2012, Synchronized Swimming, Italy, gold, 2
2012, Gymnastics, Norway, bronze, 0
2016, Modern Pentathlon, Denemark, bronze, 6
2008, Volleyball, Austria, gold, 6
2016, Cycling, France, gold, 3
2012, Football / Soccer, Soviet Union, silver, 5
16, Athletics, Italy, silver, 3
8, Athletics, Romania, gold, 1
2004, Rowing, Switzerland, silver, 4
2008, Modern Pentathlon, Sweden, gold, 4
2012, Football / Soccer, Canada, gold, 1
2008, Synchronized Swimming, Hungary, silver, 6
2004, Cycling, Commonwealth of Independent States, bronze, 6
2004, Cycling, Commonwealth of Independent States, silver, 4
2012, Gymnastics, France, bronze, 3
8, Volleyball, Finland, silver, 1
2016, Volleyball, Czechoslovakia, bronze, 2
2004, Cycling, Bulgaria, bronze, 0
2012, Rowing, Cuba, silver, 0
2008, Rowing, Italy, gold, 6
2012, Synchronized Swimming, Switzerland, gold, 4
2008, Football / Soccer, Great Britain, silver, 6
2012, Football / Soccer, Belgium, silver, 1
2012, Volleyball, Norway, silver, 4
2012, Football / Soccer, Bulgaria, silver, 5
12, Synchronized Swimming, France, gold, 6
2008, Swimming, Canada, bronze, 5
2016, Tennis, Switzerland, silver, 5
2016, Volleyball, Hungary, bronze, 0
2016, Modern Pentathlon, Great Britain, bronze, 0
2012, Synchronized Swimming, Soviet Union, silver, 6
2012, Football / Soccer, Soviet Union, gold, 4
2004, Volleyball, United States, bronze, 1
2004, Modern Pentathlon, Great Britain, gold, 5
2012, Gymnastics, Soviet Union, gold, 3
2012, Gymnastics, East Germany, gold, 3
2004, Tennis, Russia, silver, 3
2016, Cycling, Sweden, bronze, 4
2008, Athletics, Netherlands, bronze, 3
2016, Tennis, Sweden, bronze, 3
2004, Rowing, Norway, bronze, 3
2012, Athletics, Bulgaria, gold, 1
2012, Modern Pentathlon, West Germany, bronze, 5
2008, Volleyball, Hungary, bronze, 2
2004, Athletics, Russia, silver, 4
2016, Modern Pentathlon, Turkey, silver, 0
2012, Gymnastics, China, gold, 1
2004, Swimming, Belgium, bronze, 6
2012, Football / Soccer, Poland, silver, 3
2012, Modern Pentathlon, Hungary, silver, 3
2016, Synchronized Swimming, Austria, silver, 6
2008, Modern Pentathlon, Italy, g, 5
2016, Modern Pentathlon, Romania, gold, 2
2004, Rowing, Commonwealth of Independent States, bronze, 2
2016, Rowing, Switzerland, silver, 4
2004, Cycling, Sweden, bronze, 2
2016, Cycling, United States, gold, 3
2004, Cycling, Cuba, gold, 2
2012, Swimming, Cuba, silver, 5
2004, Swimming, Turkey, bronze, 3
2004, Swimming, Austria, bronze, 0
2012, Gymnastics, Czechoslovakia, silver, 2
2008, Tennis, Commonwealth of Independent States, silver, 1
2016, Rowing, Norway, silver, 1
2008, Volleyball, Commonwealth of Independent States, gold, 3
2016, Tennis, Denemark, gold, 3
2012, Gymnastics, Italy, bronze, 2
2008, Gymnastics, Bulgaria, bronze, 0
2004, Tennis, West Germany, gold, 4
2004, Tennis, Germany, gold, 5
2008, Athletics, Japan, gold, 6
2016, Rowing, Germany, gold, 5
2012, Athletics, China, silver, 6
2004, Cycling, Turkey, bronze, 3
2016, Athletics, Russia, bronze, 0
2008, Football / Soccer, Czechoslovakia, bronze, 6
2004, Athletics, West Germany, silver, 6
2012, Rowing, Netherlands, bronze, 3
2008, Modern Pentathlon, China, gold, 4
2004, Gymnastics, Cuba, bronze, 2
2004, Synchronized Swimming, Denemark, silver, 2
2008, Cycling, Italy, silver, 6
2012, Athletics, Bulgaria, silver, 3
2004, Athletics, Romania, gold, 6
2012, Swimming, Soviet Union, gold, 5
2016, Athletics, Canada, silver, 5
2016, Synchronized Swimming, Austria, g, 1
2016, Swimming, Germany, silver, 0
16, Tennis, France, bronze, 4
2004, Modern Pentathlon, Canada, silver, 6
